CMDLINE C:\Users\arisp\anaconda3\envs\port_opt_env\python.exe Full_test.py
MEM 318.648438 1758569831.0576
MEM 318.835938 1758569831.1632
MEM 317.781250 1758569831.2693
MEM 317.589844 1758569831.3768
MEM 317.535156 1758569831.4915
MEM 318.175781 1758569831.5980
MEM 317.929688 1758569831.7069
MEM 293.101562 1758569831.8148
MEM 293.101562 1758569831.9235
MEM 293.101562 1758569832.0313
MEM 293.101562 1758569832.1396
MEM 293.101562 1758569832.2477
MEM 293.101562 1758569832.3560
MEM 293.101562 1758569832.4652
MEM 293.101562 1758569832.5727
MEM 293.101562 1758569832.6812
MEM 293.101562 1758569832.7957
MEM 293.101562 1758569832.9039
MEM 293.101562 1758569833.0133
MEM 293.101562 1758569833.1221
MEM 293.101562 1758569833.2307
MEM 293.101562 1758569833.3397
MEM 293.101562 1758569833.4481
MEM 293.101562 1758569833.5571
MEM 293.101562 1758569833.6648
MEM 293.101562 1758569833.7742
MEM 293.101562 1758569833.8818
MEM 293.101562 1758569833.9912
MEM 293.101562 1758569834.1000
MEM 293.101562 1758569834.2098
MEM 293.101562 1758569834.3179
MEM 293.101562 1758569834.4285
MEM 293.101562 1758569834.5363
MEM 293.101562 1758569834.6466
MEM 293.101562 1758569834.7546
MEM 293.101562 1758569834.8629
MEM 293.101562 1758569834.9716
MEM 293.101562 1758569835.0798
MEM 293.101562 1758569835.1872
MEM 293.101562 1758569835.2949
MEM 293.101562 1758569835.4026
MEM 293.101562 1758569835.5112
MEM 293.101562 1758569835.6188
MEM 293.101562 1758569835.7284
MEM 293.101562 1758569835.8358
MEM 293.101562 1758569835.9449
MEM 293.101562 1758569836.0544
MEM 293.101562 1758569836.1624
MEM 293.101562 1758569836.2707
MEM 293.101562 1758569836.3794
MEM 293.101562 1758569836.4880
MEM 293.101562 1758569836.5966
MEM 293.101562 1758569836.7055
MEM 293.101562 1758569836.8133
MEM 293.101562 1758569836.9206
MEM 293.101562 1758569837.0282
MEM 293.101562 1758569837.1355
MEM 293.101562 1758569837.2445
MEM 293.101562 1758569837.3518
MEM 293.101562 1758569837.4599
MEM 293.101562 1758569837.5686
MEM 293.101562 1758569837.6764
MEM 293.101562 1758569837.7846
MEM 293.191406 1758569837.8923
MEM 307.957031 1758569838.0003
MEM 320.542969 1758569838.1089
MEM 346.042969 1758569838.2171
MEM 372.453125 1758569838.3246
MEM 391.808594 1758569838.4325
MEM 409.734375 1758569838.5412
MEM 444.093750 1758569838.6494
MEM 320.242188 1758569838.7577
MEM 294.003906 1758569838.8658
MEM 332.421875 1758569838.9748
MEM 387.953125 1758569839.0830
MEM 375.359375 1758569839.1919
MEM 375.359375 1758569839.3002
MEM 375.359375 1758569839.4078
MEM 375.359375 1758569839.5153
MEM 375.359375 1758569839.6239
MEM 375.359375 1758569839.7323
MEM 375.359375 1758569839.8414
MEM 375.359375 1758569839.9502
MEM 375.359375 1758569840.0586
MEM 375.359375 1758569840.1659
MEM 375.359375 1758569840.2751
MEM 375.359375 1758569840.3836
MEM 375.359375 1758569840.4929
MEM 375.359375 1758569840.6024
MEM 375.359375 1758569840.7109
MEM 375.359375 1758569840.8181
MEM 375.359375 1758569840.9266
MEM 375.359375 1758569841.0346
MEM 375.359375 1758569841.1426
MEM 375.359375 1758569841.2510
MEM 375.359375 1758569841.3588
MEM 375.359375 1758569841.4665
MEM 375.359375 1758569841.5744
MEM 375.359375 1758569841.6827
MEM 375.359375 1758569841.7914
MEM 375.359375 1758569841.8995
MEM 375.359375 1758569842.0078
MEM 375.359375 1758569842.1168
MEM 375.359375 1758569842.2251
MEM 375.359375 1758569842.3334
MEM 375.359375 1758569842.4412
MEM 375.359375 1758569842.5493
MEM 375.359375 1758569842.6571
MEM 375.359375 1758569842.7653
MEM 375.359375 1758569842.8729
MEM 375.359375 1758569842.9812
MEM 375.359375 1758569843.0897
MEM 375.359375 1758569843.1983
MEM 375.359375 1758569843.3079
MEM 375.359375 1758569843.4168
MEM 375.359375 1758569843.5249
MEM 375.359375 1758569843.6347
MEM 375.359375 1758569843.7428
MEM 375.359375 1758569843.8514
MEM 375.359375 1758569843.9601
MEM 375.359375 1758569844.0680
MEM 375.359375 1758569844.1768
MEM 375.359375 1758569844.2846
MEM 375.359375 1758569844.3914
MEM 375.359375 1758569844.4994
MEM 375.359375 1758569844.6076
MEM 375.359375 1758569844.7158
MEM 375.359375 1758569844.8239
MEM 375.359375 1758569844.9327
MEM 375.359375 1758569845.0408
MEM 375.359375 1758569845.1494
MEM 375.359375 1758569845.2580
MEM 375.359375 1758569845.3661
MEM 375.359375 1758569845.4739
MEM 375.359375 1758569845.5819
MEM 375.359375 1758569845.6898
MEM 375.359375 1758569845.7982
MEM 375.359375 1758569845.9058
MEM 375.359375 1758569846.0144
MEM 375.359375 1758569846.1224
MEM 375.359375 1758569846.2310
MEM 375.359375 1758569846.3395
MEM 375.359375 1758569846.4474
MEM 375.359375 1758569846.5551
MEM 375.359375 1758569846.6622
MEM 375.359375 1758569846.7705
MEM 375.359375 1758569846.8789
MEM 375.359375 1758569846.9866
